en,meaning1,meaning,context,example1,example2,example3
sanction,제재,승인·허가,제재? 반대로 승인도 됨,The plan received official sanction.,The law sanctions such actions.,Their marriage lacked family sanction.
oversight,감독,간과·실수,"감독 vs 간과, 정반대 공존",The error was a simple oversight.,"Due to an oversight, the bill went unpaid.",The mistake resulted from pure oversight.
dust,먼지를 털다,(가루를) 뿌리다,털다? 반대로 뿌리다도,She dusted sugar over the cake.,Dust the pan with a little flour.,He dusted the cookies with cinnamon.
screen,가리다·차단하다,선별하다·상영하다,가리다 vs 골라내다·틀다,They screen job applicants carefully.,The film was screened nationwide.,Doctors screen patients for the disease.
overlook,간과하다,감독하다·내려다보다,"놓치다 vs 살피다, 정반대",He overlooked a serious error.,The manager overlooks daily operations.,The hotel overlooks the sea.
cleave,쪼개다·가르다,달라붙다·고수하다,쪼개다? 반대로 달라붙다,The couple cleaved to old traditions.,She cleaved to her beliefs.,They cleaved together in hard times.
bolt,고정하다·빗장을 걸다,갑자기 달아나다,"잠그다 vs 튀다, 정반대",The horse bolted at the loud noise.,He bolted from the room in fear.,The suspect bolted when police arrived.
trim,잘라 다듬다,장식을 더하다,줄이다 vs 더하다,They trimmed the tree with lights.,The dress was trimmed with lace.,She trimmed the hat with ribbon.
custom,관습(일반적),맞춤 제작의,흔한 관습 vs 나만의 맞춤,He ordered a custom suit.,They build custom furniture.,The car has a fully custom design.
clip,잘라내다,고정하다·끼우다,자르다 vs 붙이다,She clipped the papers together.,Clip the badge to your shirt.,He clipped the note to the file.
fast,빠른,단단히 고정된,빠르다? hold fast=꽉,The rope held fast in the storm.,The door was stuck fast.,He stood fast against the pressure.
buckle,잠그다·고정하다,휘어져 무너지다,채우다 vs 무너지다,The bridge buckled under the weight.,Her knees buckled in shock.,The metal buckled in the heat.
left,남은,떠난(leave 과거),남았다 vs 떠났다,Only two cookies are left.,She left the country years ago.,Nothing was left after the sale.
table,탁자,(안건을) 상정하다·보류하다,"올리다 vs 미루다, 정반대",They tabled the motion for discussion.,The committee tabled the proposal.,The issue was tabled until next month.
handicap,불리하게 하다,유리하게 조정하다,불리 vs 핸디캡 부여,Poor health handicapped his career.,Runners were handicapped by the load.,The system handicaps players fairly.
