en,meaning1,meaning,context,example1,example2,example3
address,주소,(문제를) 다루다·처리하다,"지문 속 address는 90% ""다루다""임",The report addresses the issue of climate change.,We need to address these concerns immediately.,This chapter addresses several key questions.
spell,철자를 쓰다,(나쁜 결과를) 초래하다,spell disaster 못 읽으면 반토막 ㅋㅋ,Poor planning could spell disaster for the project.,The drought spelled trouble for local farmers.,One mistake might spell the end of his career.
appreciate,감사하다,제대로 인식하다·이해하다,"감사만 알면 함정. ""완전히 이해하다"" 챙겨",Few people appreciate the complexity of the problem.,You need to appreciate the risks involved.,I didn't fully appreciate how difficult it was.
embrace,껴안다,(생각·변화를) 받아들이다,품에 (껴안듯) 새로운 생각이나 변화를 '받아들이다,Companies must embrace new technology to survive.,She embraced the challenge with enthusiasm.,The community embraced the changes willingly.
grasp,움켜쥐다,이해하다·파악하다,"손으로 움켜쥐듯, 머리로 완벽하게 '이해하다",It took me a while to grasp the concept.,He quickly grasped the significance of the data.,Students struggle to grasp abstract ideas.
weigh,무게를 재다,신중히 따지다·저울질하다,장단점 저울질할 때 씀. 결정장애 올 때 머릿속으로 weigh,We must weigh the pros and cons carefully.,She weighed her options before deciding.,Judges weigh the evidence before a verdict.
frame,틀에 넣다,(특정 방식으로) 표현하다·규정하다,"액자 아니고 ""프레이밍"" 그 프레임",The media framed the event as a scandal.,How you frame a question shapes the answer.,The issue was framed as a moral choice.
navigate,항해하다,(복잡한 상황을) 헤쳐나가다,"배 아님. ""이 상황 어떻게 navigate 함?""",Teens must navigate a complex social world.,She skillfully navigated the difficult negotiation.,Immigrants navigate unfamiliar systems daily.
cultivate,경작하다,(관계·능력을) 기르다·함양하다,"밭 아님. ""인맥 cultivate"" 그거",He worked hard to cultivate good relationships.,The school aims to cultivate critical thinking.,She cultivated a reputation for honesty.
anchor,닻을 내리다,(근거를) 두다·고정시키다,"배 닻도 앵커우먼도 아님. ""근거로 삼다""",The theory is anchored in solid evidence.,Shared values anchor the community together.,His argument was anchored by real data.
illuminate,밝히다,명확히 설명하다·조명하다,"불 켜는 게 아니라 ""이해를 밝혀주는"" 거",The study illuminates how memory works.,Her lecture illuminated a difficult topic.,These findings illuminate the causes of the crisis.
digest,소화하다,(정보를) 이해·정리하다,"밥 소화 아님. ""정보 소화"" 그 뜻",It takes time to digest so much information.,Readers need to digest the main argument.,She digested the report before the meeting.
channel,수로·채널,(에너지·감정을) 쏟다·표출하다,물길을 돌리듯 에너지·감정을 '쏟다'/내 도파민 안 새게 학습에 channel,He channeled his anger into his work.,The program channels funds to poor regions.,She channeled her grief into painting.
mirror,거울,반영하다·그대로 보여주다,거울 아니고 동사 reflect랑 동의어,The results mirror earlier findings.,His views mirror those of his generation.,Art often mirrors society.
harvest,수확하다,(성과·데이터를) 거두다·수집하다,"벼 베는 거 아님. ""데이터 harvest"" 그거",Companies harvest data from users online.,We harvested the rewards of years of effort.,The project harvested valuable insights.
